sp_cat,worms_id,sci_ds,sci_worms,cmn_ds,rl,taxa,worms_preferred
coral,135144,Caryophyllia communis,Caryophyllia (Caryophyllia) smithii,NA,NA,W-Scl-1290125,
coral,135144,Caryophyllia smithii,Caryophyllia (Caryophyllia) smithii,devonshire cup coral,NA,SLB-61972,T
coral,289807,Dichocoenia stellaris,Dichocoenia stokesii,pancake star coral,DD,SLB-62687,
coral,289807,Dichocoenia stokesi,Dichocoenia stokesii,pineapple coral,NA,SLB-62688,T
coral,766865,Coscinaraea exaesa,Psammocora exesa,wrinkle coral,NA,SLB-62982,
coral,766865,Coscinaraea exesa,Psammocora exesa,NA,NA,W-Scl-287938,T
coral,886931,Acanthastrea bowerbanki,Homophyllia bowerbanki,NA,NA,SLB-62720,T
coral,886931,Acanthastrea hillae,Homophyllia bowerbanki,NA,NT,SLB-62724,
invertebrate,476533,Cymatium martinianum,Monoplex pilearis,hairy triton,NA,SLB-76668,
invertebrate,476533,Cymatium pileare,Monoplex pilearis,common hairy triton,NA,SLB-76677,T
invertebrate,505839,Caryocorbula cymella,Corbula dietziana,NA,NA,W-Msc-420978,
invertebrate,505839,Caryocorbula dietziana,Corbula dietziana,NA,NA,W-Msc-420979,T
invertebrate,529402,Holothuria fuscopunctata,Holothuria (Mertensiothuria) hilla,elephant trunkfish,LC,SLB-88397,
invertebrate,529402,Holothuria hilla,Holothuria (Mertensiothuria) hilla,Tiger Tail,LC,SLB-92916,T
invertebrate,594422,Anisodoris nobilis,Peltodoris nobilis,Pacific sea-lemon,NA,SLB-77423,
invertebrate,594422,Montereina nobilis,Peltodoris nobilis,sea lemon,NA,SLB-189261,T
invertebrate,606421,Mysella tumida,Kurtiella tumida,NA,NA,SLB-70306,
invertebrate,606421,Rochefortia tumida,Kurtiella tumida,robust mysella,NA,SLB-70327,T
invertebrate,714168,Thais alouina,Mancinella alouina,alou rock shell,NA,SLB-93429,
invertebrate,714168,Thais mancinella,Mancinella alouina,mancinella rock-shell,NA,SLB-117222,T
invertebrate,747114,Polymesoda erosa,Geloina expansa,common geloina,NA,SLB-92494,
invertebrate,747114,Polymesoda expansa,Geloina expansa,broad geloina,NA,SLB-92508,T
invertebrate,758985,Parahyotissa imbricata,Hyotissa inermis,NA,NA,SLB-173015,
invertebrate,758985,Parahyotissa inermis,Hyotissa inermis,NA,NA,SLB-128726,T
invertebrate,832052,Diacavolinia elegans,Vaginella depressa,NA,NA,SLB-80061,
invertebrate,832052,Diacavolinia strangulata,Vaginella depressa,NA,NA,W-Msc-532730,T
invertebrate,879801,Arcopagia fausta,Johnsonella fausta,NA,NA,W-Msc-420864,
invertebrate,879801,Tellina fausta,Johnsonella fausta,faust tellin,NA,SLB-70690,T
invertebrate,1056519,Sergia creber,Robustosergia regalis,NA,NA,SLB-12493,
invertebrate,1056519,Sergia regalis,Robustosergia regalis,NA,NA,ITS-552060,T
invertebrate,1255194,Chlamys lentiginosa,Mimachlamys punctata,NA,NA,SLB-114583,
invertebrate,1255194,Mimachlamys lentiginosa,Mimachlamys punctata,NA,NA,SLB-114586,T
invertebrate,1417647,Terebra areolata,Myurellopsis kilburni,fly spotted auger,NA,SLB-93632,
invertebrate,1417647,Terebra kilburni,Myurellopsis kilburni,kilburn's auger,NA,SLB-100952,T
invertebrate,1544948,Cryptodromia canaliculata,Alcockdromia fallax,NA,NA,SLB-114014,
invertebrate,1544948,Cryptodromia fallax,Alcockdromia fallax,NA,NA,SLB-9970,T
invertebrate,1609219,Munida heteracantha,Trapezionida oritea,NA,NA,ITS-660133,
invertebrate,1609219,Munida oritea,Trapezionida oritea,NA,NA,SLB-157994,T
invertebrate,1819191,Canarium mutabile,Maculastrombus mutabilis,NA,NA,W-Msc-531880,
invertebrate,1819191,Strombus mutabilis,Maculastrombus mutabilis,mutable conch,NA,SLB-93116,T
other,1491000,Lumbrineris impatiens,Scoletoma laurentiana,NA,NA,SLB-2259,
other,1491000,Scoletoma impatiens,Scoletoma laurentiana,NA,NA,W-Pol-130263,T