name_old,name_new,color,description
bug,Type: Bug,,Something isn't working
documentation,,,Improvements or additions to documentation
duplicate,Type: Duplicate,,This issue or pull request already exists
enhancement,Type: Feature,,New feature or request
good first issue,,,Good for newcomers
help wanted,,,Extra attention is needed
invalid,,,This doesn't seem right
question,Type: Question,,Further information is requested
spatial-units,,,"regions, planning areas, aliquots, etc"
wontfix,,,This will not be worked on
,Priority: High,,
,Priority: Critical,,
,Priority: Low,,
,Priority: Medium,,