path,lyr,schema,tbl,key_expression,shelf,layer
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/AK/blocks/AK_BLKCLP.shp,,raw,boem_ak_blk_clp,'boem-ak-blk-clip_' || prot_numbe || '_' || block_numb,Alaska,Blocks
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/AK/protclip/AK_PROTCLP.shp,,raw,boem_ak_prot_clp,'boem-ak-prot-clp_' || prot_numbe,Alaska,Protraction Diagrams
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/ATL/ATL_ALIQUOTS/aliquots_atl.shp,,raw,boem_atl_alq,'boem-atl-alq_' || prot_numbe || '_' || block_numb,Atlantic,Aliquots
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/ATL/ATL_BLKCLIP/ATL_BLKCLP.shp,,raw,boem_atl_blk_clp,'boem-atl-blk-clp_' || prot_numbe || '_' || block_numb,Atlantic,Blocks
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/ATL/ATL_PROTCLP/ATL_PROTCLP.shp,,raw,boem_atl_prot_clp,'boem-atl-prot-clp_' || prot_numbe,Atlantic,Protraction Diagrams
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/GOM/BlockPolygonsClipped.gdb,,raw,boem_gom_blk_clp,'boem-gom-blk-clp_' || mms_plan_area_cd || '_' || prot_number || '_' || block_number,Gulf of Mexico,Blocks
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/GOM/ProtractionPolygonsClipped.gdb,,raw,boem_gom_prot_clp,'boem-gom-prot-clp_' || prot_number,Gulf of Mexico,Protraction Diagrams
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/PC/PC_ALIQUOTS/Aliquots_WestCoast_MMC.shp,,raw,boem_pc_alq,'boem-pc-alq_' || prot_numbe || '_' || block_numb,Pacific,Aliquots
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/PC/PC_BLK_CLIP/PC_BLK_CLIP.shp,,raw,boem_pc_blk_clp,'boem-pc-blk-clp_' || prot_numbe || '_' || block_numb,Pacific,Blocks
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/PC/PC_PROT_CLIP/PC_PROT_CLIP.shp,,raw,boem_pc_prot_clp,'boem-pc-prot-clp_' || prot_numbe,Pacific,Protraction Diagrams
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/USA/BOEMWindLayers_4Download.gdb,BOEM_MHKLeasesandPlanningAreas,raw,boem_usa_mhk_plan,"concat('boem-usa-mhk-plan_', additional_information, '_', lease_number, '_', block_number)",National,MHK Leases & Planning Areas
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/USA/BOEMWindLayers_4Download.gdb,BOEM_Wind_Leases_11_16_2023,raw,boem_usa_wind_lease,"concat('boem-usa-wind-lease_', lease_number, '_', lease_type, '_', block_number)",National,Wind Leases
/Users/bbest/My Drive/projects/msens/data/raw/boem.gov/blocks/USA/BOEMWindLayers_4Download.gdb,BOEM_Wind_Planning_Areas_11_3_2023,raw,boem_usa_wind_plan,"concat('boem-usa-wind-plan_', additional_information, '_', protraction_number,  '_', block_number)",National,Wind Planning Areas