"common_name","scientific_name","also_known_as","category","protected_status","region","species_url"
"Acadian Redfish","Sebastes fasciatus","Redfish, Ocean perch, Labrador redfish","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/acadian-redfish"
"Acropora globiceps Coral","Acropora globiceps",NA,"Invertebrates; Corals","ESA Threatened; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/acropora-globiceps-coral"
"Acropora jacquelineae Coral","Acropora jacquelineae",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-jacquelineae-coral"
"Acropora lokani Coral","Acropora lokani",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-lokani-coral"
"Acropora pharaonis Coral","Acropora pharaonis",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-pharaonis-coral"
"Acropora retusa Coral","Acropora retusa",NA,"Invertebrates; Corals","ESA Threatened; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/acropora-retusa-coral"
"Acropora rudis Coral","Acropora rudis",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-rudis-coral"
"Acropora speciosa Coral","Acropora speciosa",NA,"Invertebrates; Corals","ESA Threatened; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/acropora-speciosa-coral"
"Acropora tenella Coral","Acropora tenella",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/acropora-tenella-coral"
"Adriatic Sturgeon","Acipenser naccarii",NA,"Fish; Protected Fish","ESA Endangered - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/adriatic-sturgeon"
"African Coelacanth","Latimeria chalumnae",NA,"Fish; Protected Fish","ESA Threatened - Foreign; CITES Appendix I","; Foreign","https://www.fisheries.noaa.gov/species/african-coelacanth"
"Alabama Shad","Alosa alabamae",NA,"Fish","ESA Candidate","; Southeast","https://www.fisheries.noaa.gov/species/alabama-shad"
"Alaska Pollock","Gadus chalcogrammus","Pollock, Walleye pollock, Pacific pollock","Fish; Groundfish; Wild-Caught Seafood",NA,"; Alaska","https://www.fisheries.noaa.gov/species/alaska-pollock"
"Alaska Snow Crab","Chionoecetes opilio","Opilio, Opies","Invertebrates; Crab; Wild-Caught Seafood",NA,"; Alaska","https://www.fisheries.noaa.gov/species/alaska-snow-crab"
"Almaco Jack","Seriola rivoliana","Kanpachi, Kampachi, Kahala, Hawaiian yellowtail, Songoro amberjack, Medregal, Bar jack, Hamachi, Longfin yellowtail","Fish; Farmed Seafood; Reef Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/almaco-jack"
"American Lobster","Homarus americanus","Lobster","Invertebrates; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/american-lobster"
"American Plaice","Hippoglossoides platessoides","American dab, Canadian plaice, Dab","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/american-plaice"
"Anacropora spinosa Coral","Anacropora spinosa",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/anacropora-spinosa-coral"
"Argentine Angelshark","Squatina argentina",NA,"Fish; Protected Fish; Sharks","ESA Endangered - Foreign","; Foreign","https://www.fisheries.noaa.gov/species/argentine-angelshark"
"Arrowtooth Flounder","Atheresthes stomias","Flounder, Arrowtooth halibut, Turbot, Paltus","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/arrowtooth-flounder"
"Atlantic Bigeye Tuna","Thunnus obesus","Tuna, Big eye, Ahi-b","Fish; Highly Migratory Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-bigeye-tuna"
"Atlantic Blacktip Shark","Carcharhinus limbatus","Black fin shark, Blacktip whaler, Common blacktip shark, Gray shark, Requiem shark, Small blacktip shark, Spot-fin ground shark","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-blacktip-shark"
"Atlantic Chub Mackerel","Scomber colias","Mackerel, Chub mackerel, Tinker mackerel","Fish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-chub-mackerel"
"Atlantic Cod","Gadus morhua","Cod, Codling, Scrod cod, Markets, Steakers","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-cod"
"Atlantic Common Thresher Shark","Alopias vulpinus","Thresher shark, Fox shark, Sea fox, Swingletail, Whiptail shark, Thintail shark","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-common-thresher-shark"
"Atlantic Deep-Sea Red Crab","Chaceon quinquedens","Atlantic red crab, Red crab, Red deepsea crab","Invertebrates; Crab; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-deep-sea-red-crab"
"Atlantic Goliath Grouper","Epinephelus itajara",NA,"Fish; Reef Fish",NA,"; Southeast","https://www.fisheries.noaa.gov/species/atlantic-goliath-grouper"
"Atlantic Halibut","Hippoglossus hippoglossus","Atlantic halibut, Halibut","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-halibut"
"Atlantic Herring","Clupea harengus","Herring, Sea herring, Sild, Common herring, Labrador herring, Sardine, Sperling","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-herring"
"Atlantic Humpback Dolphin","Sousa teuszii",NA,"Dolphins & Porpoises","ESA Endangered - Foreign; MMPA Protected; CITES Appendix I","; Foreign","https://www.fisheries.noaa.gov/species/atlantic-humpback-dolphin"
"Atlantic Mackerel","Scomber scombrus","Mackerel, Common mackerel, Boston mackerel, Caballa","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-mackerel"
"Atlantic Mahi Mahi","Coryphaena hippurus","Mahimahi, Dolphinfish, Dolphin, Dorado","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-mahi-mahi"
"Atlantic Menhaden","Brevoortia tyrannus","Fatback, Bunker, Pogie, Mossback","Fish",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-menhaden"
"Atlantic Northern Shrimp","Pandalus borealis","Pink shrimp, Salad shrimp, Coldwater shrimp, Deep water prawn","Invertebrates; Shrimp; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-northern-shrimp"
"Atlantic Pollock","Pollachius virens","Saithe, Coalfish, Coley, Green cod, Boston bluefish","Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-pollock"
"Atlantic Salmon","Salmo salar","Salmon, Sea run salmon, Kelts, Black salmon","Fish; Farmed Seafood; Protected Fish; Salmon & Steelhead","ESA Endangered","; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-salmon"
"Atlantic Sea Scallop","Placopecten magellanicus","Scallop, Sea scallop, Giant scallop","Invertebrates; Scallops; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-sea-scallop"
"Atlantic Sharpnose Shark","Rhizoprionodon terraenovae","Newfoundland shark, Sharp-nosed shark, White shark","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-sharpnose-shark"
"Atlantic Shortfin Mako Shark","Isurus oxyrinchus","Mako shark, Blue pointer, Bonito shark, Atlantic mako shark","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-shortfin-mako-shark"
"Atlantic Skipjack Tuna","Katsuwonus pelamis","Tuna, Ocean bonito, Lesser tuna, Aku","Fish; Highly Migratory Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-skipjack-tuna"
"Atlantic Spiny Dogfish","Squalus acanthias","Dogfish shark, Cape dogfish, Cape shark, Spring dogfish, Spiked dogfish, Grayfish, Spur dog, Piked dogfish","Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-spiny-dogfish"
"Atlantic Spotted Dolphin","Stenella frontalis",NA,"Dolphins & Porpoises","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-spotted-dolphin"
"Atlantic Striped Bass","Morone saxatilis","Bass, Rockfish, Striper, Linesider","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-striped-bass"
"Atlantic Sturgeon","Acipenser oxyrinchus oxyrinchus",NA,"Fish; Protected Fish","ESA Endangered; ESA Endangered; ESA Endangered; ESA Endangered; ESA Threatened; CITES Appendix II","; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-sturgeon"
"Atlantic Surfclam","Spisula solidissima","Surfclam, Hen clam, Bar clam, Sea clam","Invertebrates; Clams, Mussels, Oysters; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-surfclam"
"Atlantic Wahoo","Acanthocybium solandri","Kingfish, Peto, Guarapucu, Ono, Thazard batard","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-wahoo"
"Atlantic White-Sided Dolphin","Lagenorhynchus acutus",NA,"Dolphins & Porpoises","MMPA Protected; CITES Appendix II","; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-white-sided-dolphin"
"Atlantic Wolffish","Anarhichas lupus",NA,"Fish; Groundfish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/atlantic-wolffish"
"Atlantic Yellowfin Tuna","Thunnus albacares","Tuna, Ahi","Fish; Highly Migratory Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/atlantic-yellowfin-tuna"
"Baird’s Beaked Whale","Berardius bairdii",NA,"Whales","MMPA Protected; CITES Appendix I","; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/bairds-beaked-whale"
"Banggai Cardinalfish","Pterapogon kauderni",NA,"Fish; Protected Fish; Reef Fish","ESA Threatened - Foreign","; Foreign","https://www.fisheries.noaa.gov/species/banggai-cardinalfish"
"Bearded Seal","Erignathus barbatus",NA,"Seals & Sea Lions","ESA Threatened; ESA Threatened - Foreign; MMPA Protected; MMPA Depleted; MMPA Depleted","; Alaska","https://www.fisheries.noaa.gov/species/bearded-seal"
"Beluga Whale","Delphinapterus leucas",NA,"Whales","ESA Endangered; MMPA Protected; MMPA Depleted; MMPA Depleted; CITES Appendix II","; Alaska","https://www.fisheries.noaa.gov/species/beluga-whale"
"Black Abalone","Haliotis cracherodii",NA,"Invertebrates; Abalone","ESA Endangered","; West Coast","https://www.fisheries.noaa.gov/species/black-abalone"
"Black Grouper","Mycteroperca bonaci","Grouper, Blackfin grouper, Marbled rockfish","Fish; Reef Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/black-grouper"
"Black Sea Bass","Centropristis striata","Sea bass, Blackfish, Rock bass, Black bass, Tallywag","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/black-sea-bass"
"Black Teatfish","Holothuria nobilis",NA,"Invertebrates; Other","CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/black-teatfish"
"Blackchin Guitarfish","Rhinobatos cemiculus",NA,"Fish; Protected Fish","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/blackchin-guitarfish"
"Blacknose Shark","Carcharhinus acronotus",NA,"Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; Southeast","https://www.fisheries.noaa.gov/species/blacknose-shark"
"Blainville's Beaked Whale","Mesoplodon densirostris",NA,"Whales","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/blainvilles-beaked-whale"
"Blue Catfish","Ictalurus furcatus",NA,"Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/blue-catfish"
"Blue Crab","Callinectes sapidus","Hard-shells (not molting), Peelers (about to molt), Busters (started to molt), Soft-shells (just molted, not yet hard), Jimmies (adult males), Sooks (adult females), She-crabs or Sallies (immature females), Sponges/Sponge crabs (females carrying eggs)","Invertebrates; Crab; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/blue-crab"
"Blue Mussel","Mytilus edulis","Edible mussel","Invertebrates; Clams, Mussels, Oysters; Farmed Seafood",NA,"; AlaskaRegion; New England/Mid-AtlanticRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/blue-mussel"
"Blue Whale","Balaenoptera musculus",NA,"Whales","ESA Endangered; MMPA Protected; MMPA Depleted; CITES Appendix II; SPAW Annex II","; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/blue-whale"
"Bluefish","Pomatomus saltatrix","Tailor, Snapper, Baby blues, Choppers, Elfs","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/bluefish"
"Bocaccio","Sebastes paucispinis","Bocaccio, Rock Salmon, Salmon Rockfish, Pacific Red Snapper, Pacific Snapper, Oregon Red Snapper, Oregon Snapper, Longjaw, Merou, Jack, Snapper, Rock Cod, Rockfish","Fish; Groundfish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/bocaccio"
"Bocaccio (Protected)","Sebastes paucispinis","Bocaccio, Rock Salmon, Salmon Rockfish, Pacific Red Snapper, Pacific Snapper, Oregon Red Snapper, Oregon Snapper, Longjaw, Merou, Jack, Snapper, Rock Cod, Rockfish","Fish; Groundfish; Protected Fish","ESA Endangered","; West Coast","https://www.fisheries.noaa.gov/species/bocaccio-protected"
"Bonnethead Shark","Sphyrna tiburo","Bonnet hammerhead, Bonnet shark, Bonnetnose shark, Shovelhead","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/bonnethead-shark"
"Boring Giant Clam","Tridacna crocea",NA,"Invertebrates; Clams, Mussels, Oysters","ESA Proposed - Threatened; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/boring-giant-clam"
"Boulder Star Coral","Orbicella franksi",NA,"Invertebrates; Corals","ESA Threatened; CITES Appendix II; SPAW Annex II","; Southeast","https://www.fisheries.noaa.gov/species/boulder-star-coral"
"Bowhead Whale","Balaena mysticetus",NA,"Whales","ESA Endangered; MMPA Protected; MMPA Depleted; CITES Appendix I","; Alaska","https://www.fisheries.noaa.gov/species/bowhead-whale"
"Brazilian Guitarfish","Rhinobatos horkelii",NA,"Fish; Protected Fish","ESA Endangered - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/brazilian-guitarfish"
"Brown Rock Shrimp","Sicyonia brevirostris","Rock shrimp, Florida rock shrimp","Invertebrates; Shrimp; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/brown-rock-shrimp"
"Brown Shrimp","Farfantepenaeus aztecus","Brownies, Green lake shrimp, Red shrimp, Redtail shrimp, Golden shrimp, Native shrimp, Summer shrimp","Invertebrates; Shrimp; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/brown-shrimp"
"Bryde’s Whale","Balaenoptera edeni",NA,"Whales","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/brydes-whale"
"Butterfish","Peprilus triacanthus","American butterfish, Atlantic butterfish, Dollarfish, Shiner, Skipjack, Sheepshead, Harvestfish","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/butterfish"
"California Market Squid",NA,"Squid, Pacific loligo squid, Opalescent inshore squid","Invertebrates; Squid; Wild-Caught Seafood",NA,"; West Coast","https://www.fisheries.noaa.gov/species/california-market-squid"
"California Sea Lion","Zalophus californianus",NA,"Seals & Sea Lions","MMPA Protected","; West Coast","https://www.fisheries.noaa.gov/species/california-sea-lion"
"Canary Rockfish","Sebastes pinniger","Canaries, Canary rockcod, Rockfish","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/canary-rockfish"
"Cantharellus noumeae Coral","Cantharellus noumeae",NA,"Invertebrates; Corals","ESA Endangered - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/cantharellus-noumeae-coral"
"Caribbean Spiny Lobster","Panulirus argus","Crawfish, Rock lobster, Bug, Florida lobster, Langosta espinosa","Invertebrates; Wild-Caught Seafood",NA,"; Southeast","https://www.fisheries.noaa.gov/species/caribbean-spiny-lobster"
"Chambered Nautilus","Nautilus pompilius",NA,"Invertebrates; Other","ESA Threatened; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/chambered-nautilus"
"China Clam","Hippopus porcellanus",NA,"Invertebrates; Clams, Mussels, Oysters","ESA Proposed - Endangered; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/china-clam"
"Chinese River Dolphin","Lipotes vexillifer",NA,"Dolphins & Porpoises","ESA Endangered - Foreign; MMPA Protected; MMPA Depleted; CITES Appendix I","; Foreign","https://www.fisheries.noaa.gov/species/chinese-river-dolphin"
"Chinese Sturgeon","Acipenser sinensis",NA,"Fish; Protected Fish","ESA Endangered - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/chinese-sturgeon"
"Chinook Salmon","Oncorhynchus tshawytscha","King salmon, Spring salmon, Tyee, Winter, Quinnat, Blackmouth","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/chinook-salmon"
"Chinook Salmon (Protected)","Oncorhynchus tshawytscha",NA,"Fish; Protected Fish","ESA Endangered; ESA Endangered; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Threatened; ESA Experimental Population; ESA Experimental Population; ESA Experimental Population; ESA Experimental Population; ESA Experimental Population; ESA Candidate; ESA Candidate; ESA Candidate","; West Coast","https://www.fisheries.noaa.gov/species/chinook-salmon-protected"
"Chum Salmon","Oncorhynchus keta","Salmon, Chum, Keta, Dog salmon, Calico salmon, Chub","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/chum-salmon"
"Chum Salmon (Protected)","Oncorhynchus keta",NA,"Fish; Salmon & Steelhead","ESA Threatened; ESA Threatened","; West Coast","https://www.fisheries.noaa.gov/species/chum-salmon-protected"
"Clymene Dolphin","Stenella clymene",NA,"Dolphins & Porpoises","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/clymene-dolphin"
"Cobia","Rachycentron canadum","Crabeater, Sergeantfish, Ling, Cabio, Cubby yew, Lemonfish","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/cobia"
"Coho Salmon","Oncorhynchus kisutch","Salmon, Silver salmon, Medium red salmon, Hoopid salmon, White salmon","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/coho-salmon"
"Coho Salmon (Protected)","Oncorhynchus kisutch",NA,"Fish; Protected Fish","ESA Endangered; ESA Threatened; ESA Threatened; ESA Threatened","; West Coast","https://www.fisheries.noaa.gov/species/coho-salmon-protected"
"Common Angelshark","Squatina squatina",NA,"Fish; Protected Fish; Sharks","ESA Endangered - Foreign","; Foreign","https://www.fisheries.noaa.gov/species/common-angelshark"
"Common Bottlenose Dolphin","Tursiops truncatus",NA,"Dolphins & Porpoises","MMPA Protected; MMPA Depleted; MMPA Depleted; MMPA Depleted; MMPA Depleted; MMPA Depleted; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/common-bottlenose-dolphin"
"Common Guitarfish","Rhinobatos rhinobatos",NA,"Fish; Protected Fish","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/common-guitarfish"
"Crimson Jobfish ('Ōpakapaka)","Pristipomoides filamentosus","Hawaiian pink snapper","Fish; Wild-Caught Seafood",NA,"; Pacific Islands","https://www.fisheries.noaa.gov/species/crimson-jobfish-opakapaka"
"Cuvier's Beaked Whale","Ziphius cavirostris",NA,"Whales","MMPA Protected; CITES Appendix II; SPAW Annex II","; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/cuviers-beaked-whale"
"Daggernose Shark","Isogomphodon oxyrhynchus",NA,"Fish; Protected Fish; Sharks","ESA Endangered - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/daggernose-shark"
