study_map,season,sp_code,sp_id,tif,sp_common,sp_scientific,study_param,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName,lower_final_population_sensitivity,best_estimate_final_population_sensitivity,upper_final_population_sensitivity,lower_final_collision_sensitivity_rank,best_estimate_final_collision_sensitivity_rank,upper_final_collision_sensitivity_rank,lower_final_displacement_sensitivity_rank,best_estimate_final_displacement_sensitivity_rank,upper_final_displacement_sensitivity_rank
winship2018,fall,ATPU,GBIF:2481353,ATPU_fall.tif,Atlantic Puffin,Fratercula arctica,willmott2013,GBIF:2481353,Fratercula arctica,species,accepted,GBIF:2481353,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,2481352,4408612,"(Linnaeus, 1758)",北極海鸚,1.88,2.25,2.53,7.01,7.18,7.71,8.61,9.47,9.76
winship2018,fall,AUSH,GBIF:5229361,AUSH_fall.tif,Audubon's Shearwater,Puffinus lherminieri,willmott2013,GBIF:5229361,Puffinus lherminieri,species,accepted,GBIF:5229361,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,lherminieri,NA,5229335,NA,"Lesson, 1839",奧杜邦氏鸌,2.06,3.25,3.5,6.98,7.94,8.81,1.77,5.83,7.03
winship2018,fall,BCPE,GBIF:2481477,BCPE_fall.tif,Black-capped Petrel,Pterodroma hasitata,willmott2013,GBIF:2481477,Pterodroma hasitata,species,accepted,GBIF:2481477,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,hasitata,NA,2481443,4408460,"(Kuhl, 1820)",黑顶圆尾鹱,3.65,4.5,4.6,8.37,9.18,9.64,5.26,8.13,8.8
winship2018,fall,BLKI,GBIF:2481205,BLKI_fall.tif,Black-legged Kittiwake,Rissa tridactyla,willmott2013,GBIF:2481205,Rissa tridactyla,species,accepted,GBIF:2481205,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,tridactyla,NA,2481203,2481182,"(Linnaeus, 1758)",三趾鸥,1.31,1.5,1.84,7.07,8.39,9.13,2.2,3.2,4.44
winship2018,fall,BLSC,GBIF:6178415,BLSC_fall.tif,Black Scoter,Melanitta americana,willmott2013,GBIF:6178415,Melanitta nigra americana,subspecies,accepted,GBIF:6178415,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,nigra,americana,2498247,4409099,"(Swainson, 1832)",Amerikaanse zee eend,1.69,2.5,3.31,6.69,7.81,9.22,6.79,8.85,9.61
winship2018,fall,BOGU,GBIF:6065818,BOGU_fall.tif,Bonaparte's Gull,Chroicocephalus philadelphia,willmott2013,GBIF:6065818,Chroicocephalus philadelphia,species,accepted,GBIF:6065818,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,philadelphia,NA,4848452,8190911,"(Ord, 1815)",小黑頭鷗,1.63,2.25,2.9,0.47,2.05,4.56,0.28,0.86,1.05
winship2018,fall,BRPE,GBIF:5229158,BRPE_fall.tif,Brown Pelican,Pelecanus occidentalis,willmott2013,GBIF:5229158,Pelecanus occidentalis,species,accepted,GBIF:5229158,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,NA,10650925,NA,"Linnaeus, 1766",褐鹈鹕,2,2.5,3.03,7.52,8.83,9.66,2.48,4.54,5.98
winship2018,fall,BRTE,GBIF:5789286,BRTE_fall.tif,Bridled Tern,Sterna anaethetus,willmott2013,GBIF:5789286,Onychoprion anaethetus,species,accepted,GBIF:5789286,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,anaethetus,NA,3241980,5229256,"(Scopoli, 1786)",褐翅燕鸥,1.69,2.5,2.71,7.81,8.71,9.6,5.11,8.32,9.04
winship2018,fall,COEI,GBIF:2498352,COEI_fall.tif,Common Eider,Somateria mollissima,willmott2013,GBIF:2498352,Somateria mollissima,species,accepted,GBIF:2498352,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,NA,2498349,2498353,"(Linnaeus, 1758)",歐絨鴨,1.63,2,2.44,7.73,8.28,9.24,9.13,9.8,9.95
winship2018,fall,COLO,GBIF:2481962,COLO_fall.tif,Common Loon,Gavia immer,willmott2013,GBIF:2481962,Gavia immer,species,accepted,GBIF:2481962,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,immer,NA,2481954,7588211,"(Brunnich, 1764)",普通潜鸟,2.31,2.75,3.06,6.66,7.32,8.41,7.41,8.42,8.89
winship2018,fall,COSH,GBIF:2481521,COSH_fall.tif,Cory's Shearwater,Calonectris diomedea,willmott2013,GBIF:2481521,Calonectris diomedea,species,accepted,GBIF:2481521,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,diomedea,NA,2481517,4408459,"(Scopoli, 1769)",斯氏鹱,2.28,3.5,3.85,6.86,7.41,8.07,1.67,4.06,5.07
winship2018,fall,COTE,GBIF:9367409,COTE_fall.tif,Common Tern,Sterna hirundo,willmott2013,GBIF:9367409,Sterna hirundo,species,accepted,GBIF:9367409,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,hirundo,NA,2481227,NA,"Linnaeus, 1758",普通燕鸥,1.63,2.25,2.88,8.32,9.16,9.58,5.64,8.03,8.94
winship2018,fall,DCCO,GBIF:2481875,DCCO_fall.tif,Double-crested Cormorant,Phalacrocorax auritus,willmott2013,GBIF:2481875,Phalacrocorax auritus,species,accepted,GBIF:2481875,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus,NA,2481854,4408478,"(Lesson, 1831)",雙冠鸕鷀,1.51,2,2.49,7.33,8.52,9.56,1.62,3.34,5.45
winship2018,fall,DOVE,GBIF:2481299,DOVE_fall.tif,Dovekie,Alle alle,willmott2013,GBIF:2481299,Alle alle,species,accepted,GBIF:2481299,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alle,alle,NA,2481298,4408619,"(Linnaeus, 1758)",小海烏,1.13,1.75,2.4,6.52,6.62,7.2,2.1,4.06,5.4
winship2018,fall,GBBG,GBIF:2481172,GBBG_fall.tif,Great Black-backed Gull,Larus marinus,willmott2013,GBIF:2481172,Larus marinus,species,accepted,GBIF:2481172,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,marinus,NA,2481126,NA,"Linnaeus, 1758",大黑背鸥,2,2.5,2.71,8.49,9.81,9.98,6.41,8.37,9.18
winship2018,fall,GRSH,GBIF:5229343,GRSH_fall.tif,Great Shearwater,Puffinus gravis,willmott2013,GBIF:5229343,Puffinus gravis,species,accepted,GBIF:5229343,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,gravis,NA,5229335,4408466,"(O'Reilly, 1818)",יסעור לבן זנב,2.03,2.75,2.88,7.16,7.88,8.6,1.91,5.5,6.6
winship2018,fall,GRSK,GBIF:2481618,GRSK_fall.tif,Great Skua,Stercorarius skua,willmott2013,GBIF:2481618,Stercorarius skua,species,accepted,GBIF:2481618,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,skua,NA,2481608,8308855,"(Brunnich, 1764)",大賊鷗,2.53,2.75,2.88,8.43,8.9,9.11,2.29,2.72,3.15
winship2018,fall,HERG,GBIF:2481139,HERG_fall.tif,Herring Gull,Larus argentatus,willmott2013,GBIF:2481139,Larus argentatus,species,accepted,GBIF:2481139,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,argentatus,NA,2481126,NA,"Pontoppidan, 1763",银鸥,1.63,2.5,2.75,8.35,9.81,10,3.87,6.55,7.55
winship2018,fall,LAGU,GBIF:6065844,LAGU_fall.tif,Laughing Gull,Leucophaeus atricilla,willmott2013,GBIF:6065844,Leucophaeus atricilla,species,accepted,GBIF:6065844,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,atricilla,NA,4352369,2481192,"(Linnaeus, 1758)",笑鸥,1.55,2.25,2.95,7.39,8.98,9.92,2.63,5.74,7.36
winship2018,fall,LESP,GBIF:2482012,LESP_fall.tif,Leach's Storm-Petrel,Oceanodroma leucorhoa,willmott2013,GBIF:2482012,Oceanodroma leucorhoa,species,accepted,GBIF:2482012,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,leucorhoa,NA,2481998,4408450,"(Vieillot, 1818)",白腰叉尾海燕,1.5,2,2.53,7.03,7.58,8.18,2.67,3.97,4.88
winship2018,fall,LETE,GBIF:5789285,LETE_fall.tif,Least Tern,Sterna antillarum,willmott2013,GBIF:5789285,Sternula antillarum,species,accepted,GBIF:5789285,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,antillarum,NA,4849628,NA,"Lesson, 1847",白額燕鷗,3.25,4.25,4.88,3.3,5.11,5.88,0,0,0
winship2018,fall,LTDU,GBIF:2498273,LTDU_fall.tif,Long-tailed Duck,Clangula hyemalis,willmott2013,GBIF:2498273,Clangula hyemalis,species,accepted,GBIF:2498273,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,NA,2498272,4409095,"(Linnaeus, 1758)",长尾鸭,1.5,1.75,2.09,7.6,8.45,8.92,6.17,6.93,7.84
winship2018,fall,MASH,GBIF:5229380,MASH_fall.tif,Manx Shearwater,Puffinus puffinus,willmott2013,GBIF:5229380,Puffinus puffinus,species,accepted,GBIF:5229380,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,puffinus,NA,5229335,7528574,"(Brunnich, 1764)",普通鸌,2,2.75,3.19,7.77,8.24,8.94,4.92,6.69,7.51
winship2018,fall,NOFU,GBIF:2481433,NOFU_fall.tif,Northern Fulmar,Fulmarus glacialis,willmott2013,GBIF:2481433,Fulmarus glacialis,species,accepted,GBIF:2481433,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,glacialis,NA,2481431,4408458,"(Linnaeus, 1761)",暴雪鹱,1.81,2.25,2.4,7.09,7.54,8.54,2.96,4.4,4.68
winship2018,fall,NOGA,GBIF:2480964,NOGA_fall.tif,Northern Gannet,Morus bassanus,willmott2013,GBIF:2480964,Morus bassanus,species,accepted,GBIF:2480964,Animalia,Chordata,Aves,Suliformes,Sulidae,Morus,bassanus,NA,2480962,8414567,"(Linnaeus, 1758)",北鲣鸟,2.19,2.75,3.19,8.88,9.47,9.73,6.07,7.12,7.89
winship2018,fall,PAJA,GBIF:2481621,PAJA_fall.tif,Parasitic Jaeger,Stercorarius parasiticus,willmott2013,GBIF:2481621,Stercorarius parasiticus,species,accepted,GBIF:2481621,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,NA,2481608,4408508,"(Linnaeus, 1758)",短尾贼鸥,1.5,2,2.63,8.64,9.75,9.9,1.72,2.53,3.54
winship2018,fall,POJA,GBIF:2481609,POJA_fall.tif,Pomarine Jaeger,Stercorarius pomarinus,willmott2013,GBIF:2481609,Stercorarius pomarinus,species,accepted,GBIF:2481609,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,NA,2481608,4408507,"(Temminck, 1815)",中贼鸥,1.5,2.75,3.75,8.2,9.62,9.94,1.24,2.87,5.21
winship2018,fall,RAZO,GBIF:8277073,RAZO_fall.tif,Razorbill,Alca torda,willmott2013,GBIF:8277073,Alca torda,species,accepted,GBIF:8277073,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,torda,NA,2481308,NA,"Linnaeus, 1758",刀嘴海雀,2,2.5,2.88,7.13,7.86,8.79,8.27,9.33,9.66
winship2018,fall,RBGU,GBIF:2481134,RBGU_fall.tif,Ring-billed Gull,Larus delawarensis,willmott2013,GBIF:2481134,Larus delawarensis,species,accepted,GBIF:2481134,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,delawarensis,NA,2481126,NA,"Ord, 1815",環嘴鷗,1.33,1.75,2.2,1.5,4.33,5.67,0.19,0.57,0.71
winship2018,fall,REPH,GBIF:5229390,REPH_fall.tif,Red Phalarope,Phalaropus fulicarius,willmott2013,GBIF:5229390,Phalaropus fulicarius,species,accepted,GBIF:5229390,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,fulicarius,NA,9549339,4849737,"(Linnaeus, 1758)",灰瓣蹼鹬,1.45,2,2.36,7.98,9.69,9.96,1.96,4.25,6.5
winship2018,fall,RNPH,GBIF:5739290,RNPH_fall.tif,Red-necked Phalarope,Phalaropus lobatus,willmott2013,GBIF:5739290,Phalaropus lobatus,species,accepted,GBIF:5739290,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,lobatus,NA,9549339,4849738,"(Linnaeus, 1758)",红颈瓣蹼鹬,1.31,1.5,1.78,7.62,9.26,9.71,1.57,3.01,4.97
winship2018,fall,ROST,GBIF:5229249,ROST_fall.tif,Roseate Tern,Sterna dougallii,willmott2013,GBIF:5229249,Sterna dougallii,species,accepted,GBIF:5229249,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,dougallii,NA,2481227,NA,"Montagu, 1813",紅燕鷗[粉紅燕鷗],3.38,4,4.5,9,9.52,9.88,7.27,9.52,9.71
winship2018,fall,ROYT,GBIF:5789281,ROYT_fall.tif,Royal Tern,Sterna maxima,willmott2013,GBIF:5789281,Thalasseus maximus,species,accepted,GBIF:5789281,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,maximus,NA,9109074,5229259,"(Boddaert, 1783)",皇家鳳頭燕鷗,2.03,3,3.35,3.39,5.03,5.94,0,0,0
winship2018,fall,RTLO,GBIF:2481958,RTLO_fall.tif,Red-throated Loon,Gavia stellata,willmott2013,GBIF:2481958,Gavia stellata,species,accepted,GBIF:2481958,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,stellata,NA,2481954,8359297,"(Pontoppidan, 1763)",红喉潜鸟,1.94,2.5,3.06,6.64,7.11,8.09,7.08,8.66,9.23
winship2018,fall,SOSH,GBIF:5739277,SOSH_fall.tif,Sooty Shearwater,Puffinus griseus,willmott2013,GBIF:5739277,Puffinus griseus,species,accepted,GBIF:5739277,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,griseus,NA,5229335,7961442,"(Gmelin, 1789)",ハイイロミズナギドリ,1.63,2.5,2.78,6.9,7.62,8.11,1.81,3.2,3.68
winship2018,fall,SPSK,GBIF:2481616,SPSK_fall.tif,South Polar Skua,Stercorarius maccormicki,willmott2013,GBIF:2481616,Stercorarius maccormicki,species,accepted,GBIF:2481616,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,maccormicki,NA,2481608,NA,"H.Saunders, 1893",麦氏贼鸥,2.56,3,3.03,7.66,9.01,9.37,1.53,2.82,4.49
winship2018,fall,SUSC,GBIF:2498246,SUSC_fall.tif,Surf Scoter,Melanitta perspicillata,willmott2013,GBIF:2498246,Melanitta perspicillata,species,accepted,GBIF:2498246,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,perspicillata,NA,2498237,4409096,"(Linnaeus, 1758)",斑頭海番鴨,1.63,3,3.75,7.28,8.75,9.39,5.69,9.28,9.85
winship2018,fall,WISP,GBIF:5229419,WISP_fall.tif,Wilson's Storm-Petrel,Oceanites oceanicus,willmott2013,GBIF:5229419,Oceanites oceanicus,species,accepted,GBIF:5229419,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanites,oceanicus,NA,2481963,7645770,"(Kuhl, 1820)",黃蹼洋海燕,1.5,2.5,3.03,6.73,7.3,7.92,1.33,3.2,4.73
winship2018,fall,WWSC,GBIF:2498238,WWSC_fall.tif,White-winged Scoter,Melanitta fusca,willmott2013,GBIF:2498238,Melanitta fusca,species,accepted,GBIF:2498238,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,fusca,NA,2498237,4409100,"(Linnaeus, 1758)",斑臉海番鴨,1.5,2.75,3.38,7.37,8.66,9.3,6.02,8.42,9.09
winship2018,spring,ATPU,GBIF:2481353,ATPU_spring.tif,Atlantic Puffin,Fratercula arctica,willmott2013,GBIF:2481353,Fratercula arctica,species,accepted,GBIF:2481353,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,arctica,NA,2481352,4408612,"(Linnaeus, 1758)",北極海鸚,1.88,2.25,2.53,7.01,7.18,7.71,8.61,9.47,9.76
winship2018,spring,AUSH,GBIF:5229361,AUSH_spring.tif,Audubon's Shearwater,Puffinus lherminieri,willmott2013,GBIF:5229361,Puffinus lherminieri,species,accepted,GBIF:5229361,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,lherminieri,NA,5229335,NA,"Lesson, 1839",奧杜邦氏鸌,2.06,3.25,3.5,6.98,7.94,8.81,1.77,5.83,7.03
winship2018,spring,BCPE,GBIF:2481477,BCPE_spring.tif,Black-capped Petrel,Pterodroma hasitata,willmott2013,GBIF:2481477,Pterodroma hasitata,species,accepted,GBIF:2481477,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,hasitata,NA,2481443,4408460,"(Kuhl, 1820)",黑顶圆尾鹱,3.65,4.5,4.6,8.37,9.18,9.64,5.26,8.13,8.8
winship2018,spring,BLKI,GBIF:2481205,BLKI_spring.tif,Black-legged Kittiwake,Rissa tridactyla,willmott2013,GBIF:2481205,Rissa tridactyla,species,accepted,GBIF:2481205,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,tridactyla,NA,2481203,2481182,"(Linnaeus, 1758)",三趾鸥,1.31,1.5,1.84,7.07,8.39,9.13,2.2,3.2,4.44
winship2018,spring,BLSC,GBIF:6178415,BLSC_spring.tif,Black Scoter,Melanitta americana,willmott2013,GBIF:6178415,Melanitta nigra americana,subspecies,accepted,GBIF:6178415,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,nigra,americana,2498247,4409099,"(Swainson, 1832)",Amerikaanse zee eend,1.69,2.5,3.31,6.69,7.81,9.22,6.79,8.85,9.61
winship2018,spring,BOGU,GBIF:6065818,BOGU_spring.tif,Bonaparte's Gull,Chroicocephalus philadelphia,willmott2013,GBIF:6065818,Chroicocephalus philadelphia,species,accepted,GBIF:6065818,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,philadelphia,NA,4848452,8190911,"(Ord, 1815)",小黑頭鷗,1.63,2.25,2.9,0.47,2.05,4.56,0.28,0.86,1.05
