sp_key_am,sp_id_gbif,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_rank,verbatim_phylum,verbatim_index,iucnRedListCategory
SLB-133003,2661026,Laurencia microcladia KÃ¼tz.,Laurencia microcladia,SPECIES,SYNONYM,100,EXACT,Plantae,Rhodophyta,Ceramiales,Rhodomelaceae,Laurencia,Laurencia dendroidea,6,106,342,665,4895,2660953,2661140,TRUE,Florideophyceae,2661140,Laurencia microcladia,species,Rhodophyta,5265,NA
SLB-70374,3455,Lucinidae,Lucinidae,FAMILY,ACCEPTED,100,HIGHERRANK,Animalia,Mollusca,Lucinida,Lucinidae,NA,NA,1,52,137,9306876,3455,NA,NA,FALSE,Bivalvia,NA,Lucina pectinata,species,Mollusca,5712,NE
W-Amp-421618,4643318,"Lycaea bajensis Shoemaker, 1925",Lycaea bajensis,SPECIES,SYNONYM,100,EXACT,Animalia,Arthropoda,Amphipoda,Lycaeidae,Lycaea,Lycaea bovallii,1,54,229,1231,8001,2217607,2217610,TRUE,Malacostraca,2217610,Lycaea bajensis,species,Arthropoda,5769,NA
W-Amp-421619,2217610,"Lycaea bovallii Chevreux, 1900",Lycaea bovallii,SPECIES,ACCEPTED,100,EXACT,Animalia,Arthropoda,Amphipoda,Lycaeidae,Lycaea,Lycaea bovallii,1,54,229,1231,8001,2217607,2217610,FALSE,Malacostraca,NA,Lycaea bovallii,species,Arthropoda,5770,NA
W-Amp-421620,2217611,"Lycaea bovallioides Stephensen, 1925",Lycaea bovallioides,SPECIES,SYNONYM,100,EXACT,Animalia,Arthropoda,Amphipoda,Lycaeidae,Lycaea,Lycaea bovallii,1,54,229,1231,8001,2217607,2217610,TRUE,Malacostraca,2217610,Lycaea bovallioides,species,Arthropoda,5771,NA
W-Msc-419825,3246940,"Opalia H.Adams & A.Adams, 1853",Opalia,GENUS,ACCEPTED,97,HIGHERRANK,Animalia,Mollusca,NA,Epitoniidae,Opalia,NA,1,52,225,NA,2673,3246940,NA,FALSE,Gastropoda,NA,Opalia morchiana,species,Mollusca,7056,NA
SLB-190537,9485611,Ostreida,Ostreida,ORDER,ACCEPTED,100,HIGHERRANK,Animalia,Mollusca,Ostreida,NA,NA,NA,1,52,137,9485611,NA,NA,NA,FALSE,Bivalvia,NA,Pinna saccata,species,Mollusca,7944,NA
SLB-187225,2227471,"Platylambrus Stimpson, 1871",Platylambrus,GENUS,ACCEPTED,97,HIGHERRANK,Animalia,Arthropoda,Decapoda,Parthenopidae,Platylambrus,NA,1,54,229,637,4550,2227471,NA,FALSE,Malacostraca,NA,Platylambrus prensor,species,Arthropoda,8020,NA
SLB-15620,2201347,"Synsynella choprae (Pearse, 1932)",Synsynella choprae,SPECIES,SYNONYM,100,EXACT,Animalia,Arthropoda,Isopoda,Bopyridae,Synsynella,NA,1,54,229,643,8697,2201344,NA,TRUE,Malacostraca,2201344,Synsynella choprae,species,Arthropoda,9819,NA
SLB-93695,1003888,"Tubulipora Lamarck, 1816",Tubulipora,GENUS,ACCEPTED,97,HIGHERRANK,Animalia,Bryozoa,Cyclostomatida,Tubuliporidae,Tubulipora,NA,1,53,226,1497,5699,1003888,NA,FALSE,Stenolaemata,NA,Tubulipora flexuosa,species,Bryozoa,10261,NA
W-Msc-215252,3483,Arcidae,Arcidae,FAMILY,ACCEPTED,100,HIGHERRANK,Animalia,Mollusca,Arcida,Arcidae,NA,NA,1,52,137,9574493,3483,NA,NA,FALSE,Bivalvia,NA,Arca imbricata,species,Mollusca,760,NE
W-Cte-106358,51,Ctenophora,Ctenophora,PHYLUM,ACCEPTED,100,HIGHERRANK,Animalia,Ctenophora,NA,NA,NA,NA,1,51,NA,NA,NA,NA,NA,FALSE,NA,NA,Beroe cucumis,species,Ctenophora,1325,NA
SLB-93133,7390893,Littorinimorpha,Littorinimorpha,ORDER,ACCEPTED,100,HIGHERRANK,Animalia,Mollusca,Littorinimorpha,NA,NA,NA,1,52,225,7390893,NA,NA,NA,FALSE,Gastropoda,NA,Cypraea arabica,species,Mollusca,2854,NE
ITS-Mam-555654,5314,Delphinidae,Delphinidae,FAMILY,ACCEPTED,100,HIGHERRANK,Animalia,Chordata,Cetacea,Delphinidae,NA,NA,1,44,359,733,5314,NA,NA,FALSE,Mammalia,NA,Delphinus capensis,species,Chordata,2948,NE
Fis-35907,2397601,"Foa Jordan & Evermann, 1905",Foa,GENUS,ACCEPTED,85,EXACT,Animalia,Chordata,Perciformes,Apogonidae,Foa,NA,1,44,NA,587,4236,2397601,NA,FALSE,NA,NA,Foa fo,species,Chordata,3964,NE
SLB-68926,3478,Gastrochaenidae,Gastrochaenidae,FAMILY,ACCEPTED,100,HIGHERRANK,Animalia,Mollusca,Gastrochaenida,Gastrochaenidae,NA,NA,1,52,137,10009910,3478,NA,NA,FALSE,Bivalvia,NA,Gastrochaena hians,species,Mollusca,4086,NA
SLB-117778,2115629,"Gibbosaverruca Young, 2002",Gibbosaverruca,GENUS,ACCEPTED,97,HIGHERRANK,Animalia,Arthropoda,Sessilia,Verrucidae,Gibbosaverruca,NA,1,54,203,1426,9169,2115629,NA,FALSE,Maxillopoda,NA,Gibbosaverruca nitida,species,Arthropoda,4149,NA
Fis-172361,4853261,"Hypanus Rafinesque, 1818",Hypanus,GENUS,ACCEPTED,97,HIGHERRANK,Animalia,Chordata,Myliobatiformes,Dasyatidae,Hypanus,NA,1,44,121,8214029,2195,4853261,NA,FALSE,Elasmobranchii,NA,Hypanus say,species,Chordata,4892,NE
SLB-146947,2660978,Laurencia filiformis (C.Agardh) Mont.,Laurencia filiformis,SPECIES,SYNONYM,100,EXACT,Plantae,Rhodophyta,Ceramiales,Rhodomelaceae,Laurencia,Laurencia dendroidea,6,106,342,665,4895,2660953,2661140,TRUE,Florideophyceae,2661140,Laurencia filiformis,species,Rhodophyta,5263,NE
SLB-133106,2661137,Laurencia obtusa (Huds.) J.V.Lamour.,Laurencia obtusa,SPECIES,SYNONYM,100,EXACT,Plantae,Rhodophyta,Ceramiales,Rhodomelaceae,Laurencia,Laurencia dendroidea,6,106,342,665,4895,2660953,2661140,TRUE,Florideophyceae,2661140,Laurencia obtusa,species,Rhodophyta,5266,NE
W-Msc-153546,2292959,"Margarites Gray, 1847",Margarites,GENUS,ACCEPTED,97,HIGHERRANK,Animalia,Mollusca,Trochida,Margaritidae,Margarites,NA,1,52,225,9715180,6532323,2292959,NA,FALSE,Gastropoda,NA,Margarites striatus,species,Mollusca,6002,NE
SLB-76864,4613076,Rissoinidae,Rissoinidae,FAMILY,ACCEPTED,100,HIGHERRANK,Animalia,Mollusca,Littorinimorpha,Rissoinidae,NA,NA,1,52,225,7390893,4613076,NA,NA,FALSE,Gastropoda,NA,Rissoina cancellata,species,Mollusca,8740,NA
SLB-133724,3196548,"Sargassum C.Agardh, 1820",Sargassum,GENUS,ACCEPTED,97,HIGHERRANK,Chromista,Ochrophyta,Fucales,Sargassaceae,Sargassum,NA,4,98,7073593,1182,7733,3196548,NA,FALSE,Phaeophyceae,NA,Sargassum paniculatum,species,Ochrophyta,8864,NE
SLB-89359,8120,Spongiidae,Spongiidae,FAMILY,ACCEPTED,100,HIGHERRANK,Animalia,Porifera,Dictyoceratida,Spongiidae,NA,NA,1,105,199,1009,8120,NA,NA,FALSE,Demospongiae,NA,Spongia pertusa,species,Porifera,9452,NA
